ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Year,Temp_Bin,Humidity_Bin
A-6674820,Source1,4,2020-10-16 13:57:36,2020-10-16 15:12:59,43.123365,-75.39639100000002,43.124005,-75.40112099999997,0.243,Incident on I-90 WB near I-90 Road closed. Take alternate route.,I-90 W,Westmoreland,Oneida,NY,13490,US,US/Eastern,KRME,2020-10-16 13:53:00,48.0,48.0,83.0,29.6,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2020,"(39.0, 56.0]","(66.0, 84.0]"
A-2051202,Source2,2,2019-06-14 16:30:53,2019-06-14 18:03:46,40.68227,-73.66323100000002,,,0.0,Center lane blocked due to accident on Southern Pkwy Eastbound at Exits 17N 17S Hempstead Ave.,Southern State Pkwy E,West Hempstead,Nassau,NY,11552,US,US/Eastern,KJFK,2019-06-14 16:51:00,73.0,73.0,41.0,29.91,10.0,W,21.0,0.0,Partly Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,"(71.0, 172.0]","(0.999, 50.0]"
A-1759721,Source2,3,2019-10-17 23:04:26,2019-10-17 23:48:19,40.76667800000001,-73.8386,,,0.0,Two lanes blocked due to accident on Grand Central Pkwy at NY-25A Northern Blvd.,Whitestone Expy N,Flushing,Queens,NY,11354,US,US/Eastern,KLGA,2019-10-17 22:51:00,56.0,56.0,55.0,29.58,10.0,W,24.0,0.0,Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,"(39.0, 56.0]","(50.0, 66.0]"
A-2276035,Source2,1,2019-02-11 07:33:27,2019-02-11 07:51:00,43.193848,-77.63655899999998,,,0.0,Accident on Ridgeway Ave Eastbound at Marigold St.,Ridgeway Ave,Rochester,Monroe,NY,14615-3639,US,US/Eastern,KROC,2019-02-11 07:26:00,26.1,17.6,71.0,30.31,5.0,East,8.1,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,"(-19.001, 39.0]","(66.0, 84.0]"
A-3520636,Source1,4,2016-05-29 15:11:31,2016-05-29 21:11:31,41.95484,-74.017625,42.074387,-73.975363,8.54,Closed at RT-32/Exit 20 - Road closed due to accident. Closed.,New York Trwy N,Kingston,Ulster,NY,12401,US,US/Eastern,KPOU,2016-05-29 14:53:00,91.0,,42.0,30.03,10.0,South,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,"(71.0, 172.0]","(0.999, 50.0]"
A-2247816,Source2,2,2019-03-30 20:27:03,2019-03-30 21:43:05,42.90519000000001,-73.77810699999998,,,0.0,Lane blocked due to accident on US-9 at Ushers Rd.,Route 9,Halfmoon,Saratoga,NY,12065-1417,US,US/Eastern,KSCH,2019-03-30 20:45:00,64.4,,40.0,29.77,10.0,South,13.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2019,"(56.0, 71.0]","(0.999, 50.0]"
A-616329,Source2,1,2022-05-20 04:07:48,2022-05-20 07:06:49,43.164631,-77.63793199999998,,,0.0,Crash on NY-31 Lyell Ave at Angle St.,Angle St,Rochester,Monroe,NY,14606-1627,US,US/Eastern,KROC,2022-05-20 03:54:00,55.0,55.0,93.0,29.13,10.0,SSW,5.0,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2022,"(39.0, 56.0]","(84.0, 100.0]"
A-7697343,Source1,4,2017-08-18 15:53:25,2017-08-18 21:53:25,42.89751,-76.16086999999997,42.90968,-76.19666,1.997,Closed at Hitchings Rd - Road closed due to accident., US Route 20,La Fayette,Onondaga,NY,13084-9723,US,US/Eastern,KSYR,2017-08-18 15:54:00,87.1,,53.0,29.68,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,"(71.0, 172.0]","(50.0, 66.0]"
A-4367567,Source1,4,2022-12-01 00:39:09,2022-12-01 02:58:30.000000000,40.743217,-73.83837700000002,40.742779,-73.839665,0.074,Incident on I-495 WB near GRAND CENTRAL PKWY Road closed. Take alternate route.,Long Island Expy W,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2022-12-01 00:51:00,41.0,32.0,45.0,29.89,10.0,W,17.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2022,"(39.0, 56.0]","(0.999, 50.0]"
A-7179664,Source1,3,2020-04-16 03:41:41,2020-04-16 04:11:41,40.62918,-73.88808,40.62918,-73.88808,0.0,At Rockaway Pky/Exit 13 - Accident. Two lanes blocked.,Belt Pkwy E,Brooklyn,Kings,NY,11236,US,US/Eastern,KJFK,2020-04-16 03:51:00,46.0,38.0,56.0,29.98,10.0,WSW,21.0,0.0,Cloudy / Windy,False,False,False,True,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2020,"(39.0, 56.0]","(50.0, 66.0]"
